type,dt,fluxN,fluxS
ions,2016-12-05 06:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 07:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 07:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 07:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 07:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 08:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 08:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 08:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 08:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 09:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 09:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 09:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 09:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 10:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 10:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 10:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 10:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 11:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 11:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 11:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 11:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 12:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 12:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 12:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 12:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 13:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 13:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 13:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 13:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 14:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 14:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 14:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 14:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 15:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 15:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 15:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 15:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 16:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 16:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 16:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 16:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 17:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 17:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 17:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 17:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 18:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 18:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 18:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 18:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 19:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 19:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 19:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 19:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 20:00:00,655.6850441304675,678.8897741510775
