type,dt,fluxN,fluxS
diff,2016-03-20 19:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 19:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 19:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 19:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 20:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 20:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 20:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 20:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 21:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 21:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 21:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 21:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 22:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 22:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 22:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 22:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 23:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 23:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 23:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 23:00:00,239.71885460225667,239.50996432843965
diff,2016-03-21 00:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 00:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 00:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 00:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 01:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 01:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 01:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 01:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 02:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 02:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 02:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 02:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 03:00:00,745.4210775839276,744.7788851602147
